date,symbol,open,high,low,close,volume,amount
2025-02-06,301112.SZ,24.4100,25.2300,24.2300,25.1500,2298723,57428292.00
2025-02-07,301112.SZ,25.2300,25.5100,24.5600,24.9800,2935284,73834890.00
2025-02-10,301112.SZ,24.9300,25.0800,24.5700,25.0600,1896300,47238980.00
2025-02-11,301112.SZ,25.1300,25.2000,24.5800,24.8600,1577400,39157958.00
2025-02-12,301112.SZ,24.7900,25.1500,24.5100,24.9900,1744784,43529562.00
2025-02-13,301112.SZ,24.9300,25.0400,24.1400,24.1800,1896584,46561348.00
2025-02-14,301112.SZ,24.1600,24.4100,23.9500,24.1900,1490500,36113846.00
2025-02-17,301112.SZ,24.2200,24.6500,24.2000,24.6000,1722500,42266150.00
2025-02-18,301112.SZ,24.6300,25.2000,24.2800,24.4500,3132200,77791194.00
2025-02-19,301112.SZ,24.2100,25.7300,24.2100,25.6000,4745520,120633294.00
2025-02-20,301112.SZ,25.4800,26.0200,25.2900,25.8500,4096600,105664778.00
2025-02-21,301112.SZ,25.9000,26.3800,25.4800,26.1600,3555300,92618660.00
2025-02-24,301112.SZ,25.9300,26.5800,25.6400,26.0500,3378300,88206569.00
2025-02-25,301112.SZ,25.9800,26.8300,25.6300,26.4500,3828300,101542658.00
2025-02-26,301112.SZ,26.8100,27.9000,26.4800,27.7800,6057100,166827133.00
2025-02-27,301112.SZ,27.4200,27.7200,26.3700,27.0500,4509300,122091311.00
2025-02-28,301112.SZ,26.6800,27.1100,25.6500,25.7700,2890450,75515951.00
2025-03-03,301112.SZ,26.3800,27.2300,25.5600,25.8100,3421800,89696469.00
2025-03-04,301112.SZ,25.5500,30.9800,25.5400,30.9800,8506463,257750932.00
2025-03-05,301112.SZ,29.9200,29.9700,28.6500,28.8300,15902809,462996052.00
2025-03-06,301112.SZ,28.9100,29.6500,28.7200,29.1300,11011481,321688582.00
2025-03-07,301112.SZ,28.9700,29.5500,28.5000,28.6600,7607342,220905618.00
2025-03-10,301112.SZ,28.5600,28.9700,28.3400,28.4900,4760513,136687338.00
2025-03-11,301112.SZ,28.2100,29.1500,28.0400,28.6200,5571752,160190452.00
2025-03-12,301112.SZ,28.7100,28.8500,28.2500,28.4000,4340100,123852433.00
2025-03-13,301112.SZ,28.4100,28.5800,27.1100,27.6300,4160506,115161713.00
2025-03-14,301112.SZ,27.7600,28.0200,27.2200,27.8400,3250340,90192536.00
2025-03-17,301112.SZ,27.9800,28.6800,27.5600,28.6500,4924900,140014100.00
2025-03-18,301112.SZ,28.5300,29.7000,28.5200,29.4500,7625195,222862873.00
2025-03-19,301112.SZ,29.4500,29.4500,28.8300,29.0000,3899395,113590074.00
2025-03-20,301112.SZ,28.9200,29.3700,28.7000,29.1400,3527800,102938807.00
2025-03-21,301112.SZ,28.8200,29.1200,27.8700,27.9700,3133500,88623292.00
2025-03-24,301112.SZ,27.9700,28.2000,25.5200,26.4000,3650068,97071536.00
2025-03-25,301112.SZ,26.0400,28.2500,26.0400,26.8600,3810700,103921228.00
2025-03-26,301112.SZ,26.9300,28.3100,26.7000,27.3700,3225300,89355840.00
2025-03-27,301112.SZ,27.3700,27.8000,26.4100,26.7700,2511100,67690222.00
2025-03-28,301112.SZ,26.6200,27.0900,26.0000,26.1700,2044100,54052014.00
2025-03-31,301112.SZ,25.8200,26.3300,24.8300,25.6200,3205368,81477921.00
2025-04-01,301112.SZ,25.6600,26.1700,25.5600,25.5900,2025300,52309824.00
2025-04-02,301112.SZ,25.7300,26.9900,25.3200,26.3200,2492600,65882539.00
2025-04-03,301112.SZ,26.0600,26.6100,25.5500,25.9300,1574000,41093085.00
2025-04-07,301112.SZ,24.0800,24.6300,20.7400,20.7400,3645400,80109730.00
2025-04-08,301112.SZ,20.8100,21.6200,20.0000,20.8900,3095100,64563679.00
2025-04-09,301112.SZ,20.3400,21.7200,18.5500,21.5200,3556500,72629588.00
2025-04-10,301112.SZ,22.1000,22.8400,22.0600,22.1100,2575000,57944044.00
2025-04-11,301112.SZ,22.4400,22.7800,21.9500,22.4700,2115400,47810338.00
2025-04-14,301112.SZ,22.9600,23.2200,22.5000,22.7100,2156150,49469735.00
2025-04-15,301112.SZ,23.0900,23.0900,22.4400,22.7100,1419700,32288283.00
2025-04-16,301112.SZ,22.7400,22.7900,21.6800,22.2100,1820400,40509438.00
2025-04-17,301112.SZ,22.3600,22.5900,21.8200,22.2400,1514300,33969897.00
2025-04-18,301112.SZ,21.9400,22.2800,21.7600,22.0400,1150300,25414955.00
2025-04-21,301112.SZ,22.2400,22.7800,21.7300,22.7800,1672100,37673385.00
2025-04-22,301112.SZ,22.6700,22.9200,22.4700,22.8200,1282000,29235214.00
2025-04-23,301112.SZ,22.9900,25.4100,22.9900,24.7400,6204842,153155610.00
2025-04-24,301112.SZ,24.7400,25.1900,24.2600,24.8700,3774500,93596028.00
2025-04-25,301112.SZ,24.7400,25.8100,24.7400,25.3200,3153735,80090015.00
2025-04-28,301112.SZ,25.3800,26.9300,25.0300,26.1700,4975200,131342168.00
2025-04-29,301112.SZ,25.9800,31.3900,25.9800,29.7900,12243747,354698699.00
2025-04-30,301112.SZ,29.1200,31.7200,29.1200,31.4300,9583123,292837275.00
2025-05-20,301112.SZ,37.7200,37.7200,37.7200,37.7200,1271200,48076784.00
2025-05-21,301112.SZ,45.2600,45.2600,44.2100,45.2600,7745853,351345126.00
2025-05-22,301112.SZ,45.6700,45.7500,37.2200,37.2200,21718203,866251533.00
2025-05-23,301112.SZ,37.0000,37.4900,34.5300,34.5700,14725845,524873462.00
2025-05-26,301112.SZ,34.9000,40.8200,34.9000,40.1500,19724117,745502983.00
2025-05-27,301112.SZ,39.8900,40.8200,38.7500,39.9300,12929843,515499453.00
2025-05-28,301112.SZ,40.0000,40.2900,37.0500,37.0500,10690589,410850201.00
2025-05-29,301112.SZ,37.9200,44.4600,37.6500,42.8200,15240063,630024979.00
2025-05-30,301112.SZ,42.2600,42.3900,39.1100,41.1000,12593485,518859908.00
