date,symbol,open,high,low,close,volume,amount
2025-02-06,600382.SH,4.2500,4.3000,4.2200,4.2800,6008379,27188662.00
2025-02-07,600382.SH,4.2800,4.3800,4.2500,4.3000,9022602,41418962.00
2025-02-10,600382.SH,4.3000,4.3500,4.2700,4.3500,8750245,40254640.00
2025-02-11,600382.SH,4.3500,4.3600,4.2500,4.2900,6165804,28013836.00
2025-02-12,600382.SH,4.3000,4.3100,4.2600,4.3100,5782867,26312802.00
2025-02-13,600382.SH,4.3100,4.3600,4.2900,4.3200,9242583,42604702.00
2025-02-14,600382.SH,4.3000,4.3500,4.2500,4.3400,7767075,35506081.00
2025-02-17,600382.SH,4.3500,4.4500,4.3400,4.3500,10086060,47035913.00
2025-02-18,600382.SH,4.3600,4.4700,4.3100,4.3200,10901238,50914648.00
2025-02-19,600382.SH,4.3100,4.3500,4.2600,4.2900,6465295,29486221.00
2025-02-20,600382.SH,4.2800,4.3300,4.2700,4.2900,4366025,19960895.00
2025-02-21,600382.SH,4.2900,4.3500,4.2200,4.2900,7431026,33819075.00
2025-02-24,600382.SH,4.2900,4.3400,4.2600,4.3300,6159245,28167791.00
2025-02-25,600382.SH,4.3100,4.3500,4.2700,4.2900,7139028,32589644.00
2025-02-26,600382.SH,4.2700,4.4400,4.2700,4.4000,12781602,59226452.00
2025-02-27,600382.SH,4.4100,4.4600,4.2200,4.3100,9791318,45024590.00
2025-02-28,600382.SH,4.3000,4.3400,4.2200,4.2300,7588807,34471638.00
2025-03-03,600382.SH,4.2700,4.3300,4.2300,4.2500,6167246,28108202.00
2025-03-04,600382.SH,4.2400,4.3500,4.2300,4.2800,5031383,22968279.00
2025-03-05,600382.SH,4.3000,4.3100,4.1700,4.2400,8341023,37321758.00
2025-03-06,600382.SH,4.2500,4.2700,4.1900,4.2500,5720917,25682565.00
2025-03-07,600382.SH,4.2400,4.2800,4.1900,4.2100,5841839,26213142.00
2025-03-10,600382.SH,4.1900,4.2400,4.1600,4.2000,6310264,28145175.00
2025-03-11,600382.SH,4.1800,4.3300,4.1600,4.2800,7208903,32557531.00
2025-03-12,600382.SH,4.2800,4.3000,4.2200,4.2400,4352290,19650344.00
2025-03-13,600382.SH,4.2500,4.2600,4.1800,4.2300,4734284,21197794.00
2025-03-14,600382.SH,4.2300,4.6600,4.2300,4.6600,20459836,97949903.00
2025-03-17,600382.SH,4.5700,4.6500,4.5000,4.5800,32377285,157003291.00
2025-03-18,600382.SH,4.5700,4.5900,4.4800,4.5800,17430132,84051750.00
2025-03-19,600382.SH,4.6000,4.6000,4.5100,4.5400,9907446,47871547.00
2025-03-20,600382.SH,4.5500,4.5600,4.5000,4.5000,8021725,38592091.00
2025-03-21,600382.SH,4.5000,4.6400,4.5000,4.5400,14482553,70185419.00
2025-03-24,600382.SH,4.5700,4.6100,4.3700,4.4800,12501345,59543068.00
2025-03-25,600382.SH,4.4800,4.5000,4.3700,4.4500,6573300,30992905.00
2025-03-26,600382.SH,4.4200,4.5000,4.4000,4.5000,6645604,31632898.00
2025-03-27,600382.SH,4.5100,4.5100,4.3800,4.4200,5831800,27407306.00
2025-03-28,600382.SH,4.4200,4.4300,4.2900,4.3300,6887758,31725291.00
2025-03-31,600382.SH,4.3100,4.3200,4.2100,4.2500,4931638,22276166.00
2025-04-01,600382.SH,4.2500,4.4200,4.2500,4.4000,6501855,30170819.00
2025-04-02,600382.SH,4.3900,4.4300,4.3500,4.3700,3528420,16426170.00
2025-04-03,600382.SH,4.3600,4.4000,4.3100,4.3700,4706225,21775045.00
2025-04-07,600382.SH,4.2200,4.2200,3.9400,3.9400,10349214,44302944.00
2025-04-08,600382.SH,3.8600,3.9500,3.6700,3.7600,17243866,69586107.00
2025-04-09,600382.SH,3.6700,3.8600,3.5300,3.8400,10705890,42086735.00
2025-04-10,600382.SH,3.8700,3.9900,3.8700,3.9200,6281866,26338603.00
2025-04-11,600382.SH,3.9000,4.0400,3.9000,3.9800,5309800,22570945.00
2025-04-14,600382.SH,4.0000,4.0800,3.9900,4.0200,4983121,21365290.00
2025-04-15,600382.SH,4.0200,4.0800,3.9900,4.0600,4974790,21394189.00
2025-04-16,600382.SH,4.0400,4.1100,4.0000,4.0700,5239702,22626344.00
2025-04-17,600382.SH,4.0300,4.1700,4.0300,4.1000,3910081,17137855.00
2025-04-18,600382.SH,4.0900,4.1400,4.0400,4.0800,2559222,11113437.00
2025-04-21,600382.SH,4.1000,4.1000,4.0500,4.0800,2641707,11445690.00
2025-04-22,600382.SH,4.0900,4.1600,4.0800,4.1500,3396759,14907491.00
2025-04-23,600382.SH,4.1500,4.1900,4.1100,4.1200,2828501,12462752.00
2025-04-24,600382.SH,4.1500,4.1500,4.0800,4.1200,2994300,13109076.00
2025-04-25,600382.SH,4.1200,4.2400,4.1000,4.1900,5216700,23296386.00
2025-04-28,600382.SH,4.2100,4.2900,4.1600,4.2600,6320528,28326744.00
2025-04-29,600382.SH,4.3100,4.6800,4.3100,4.3900,30841093,149384193.00
2025-04-30,600382.SH,4.3600,4.4100,4.2800,4.3000,22640342,104523224.00
2025-05-06,600382.SH,4.3000,4.5000,4.3000,4.5000,13674591,64170848.00
2025-05-07,600382.SH,4.5200,4.6100,4.5100,4.6000,13562459,65730715.00
2025-05-08,600382.SH,4.5700,4.6200,4.5400,4.5900,6995904,34131344.00
2025-05-09,600382.SH,4.5900,4.6500,4.5700,4.5900,6422100,31426956.00
2025-05-12,600382.SH,4.6100,4.6300,4.5000,4.5700,6027718,29130499.00
2025-05-13,600382.SH,4.5900,4.6100,4.5200,4.5300,5090280,24623894.00
2025-05-14,600382.SH,4.5500,4.5800,4.5000,4.5700,4524675,21848039.00
2025-05-15,600382.SH,4.5700,4.6000,4.5200,4.5400,3414102,16506599.00
2025-05-16,600382.SH,4.5500,4.5900,4.5100,4.5500,3829735,18521812.00
2025-05-19,600382.SH,4.5600,4.6500,4.5500,4.6400,6124964,29954892.00
2025-05-20,600382.SH,4.6500,4.6800,4.6000,4.6700,5057311,24922143.00
2025-05-21,600382.SH,4.6600,4.7700,4.6400,4.7500,10891168,54559788.00
2025-05-22,600382.SH,4.7000,4.8800,4.6500,4.6600,10863435,54919148.00
2025-05-23,600382.SH,4.6600,4.7000,4.5900,4.6100,7475315,36962185.00
2025-05-26,600382.SH,4.6100,4.6800,4.5700,4.6500,4733816,23316162.00
2025-05-27,600382.SH,4.6400,4.8500,4.6200,4.7300,13706780,69176072.00
2025-05-28,600382.SH,4.7000,4.7700,4.6600,4.7700,8220849,41072992.00
2025-05-29,600382.SH,4.7400,4.7900,4.6600,4.7400,7839177,39545521.00
2025-05-30,600382.SH,4.7400,4.9400,4.7100,4.7900,13137496,67138664.00
2025-06-03,600382.SH,4.7900,4.8100,4.7000,4.8000,8623016,43658857.00
2025-06-04,600382.SH,4.8300,4.9500,4.7800,4.8700,8280432,42941388.00
2025-06-05,600382.SH,4.8800,4.9400,4.8200,4.9400,8312086,43337665.00
2025-06-06,600382.SH,4.9800,5.4200,4.9000,5.2200,25754469,142331669.00
2025-06-09,600382.SH,5.2300,5.3200,5.1500,5.3100,16842410,93706968.00
2025-06-10,600382.SH,5.2900,5.3400,5.1400,5.2100,13650521,75596418.00
2025-06-11,600382.SH,5.2000,5.2800,5.1800,5.2100,6650957,36874359.00
2025-06-12,600382.SH,5.2100,5.2900,5.2000,5.2800,9303982,51992121.00
2025-06-13,600382.SH,5.2300,5.2900,5.0900,5.1300,9653082,52879997.00
2025-06-16,600382.SH,5.1400,5.2100,5.1000,5.1700,6239128,34164464.00
2025-06-17,600382.SH,5.1700,5.2100,5.1300,5.1600,5440126,29875776.00
2025-06-18,600382.SH,5.2400,5.2900,5.0900,5.1100,7148852,39125687.00
2025-06-19,600382.SH,5.0800,5.1200,4.8500,4.8800,9101050,47959904.00
2025-06-20,600382.SH,4.9000,4.9700,4.9000,4.9200,7202851,37759857.00
2025-06-23,600382.SH,4.8300,4.9400,4.7900,4.9100,6434653,33443553.00
2025-06-24,600382.SH,4.9400,5.0600,4.9100,5.0400,8846011,47249687.00
2025-06-25,600382.SH,5.0800,5.0800,4.9600,4.9800,6515200,34687305.00
2025-06-26,600382.SH,4.9900,5.0300,4.9100,4.9600,5779646,30402014.00
2025-06-27,600382.SH,4.9800,5.0300,4.9700,4.9900,5292645,28144304.00
2025-06-30,600382.SH,4.9900,5.1600,4.9800,5.1300,8246053,44577836.00
2025-07-01,600382.SH,5.1300,5.2100,5.1200,5.1600,4675254,25664443.00
2025-07-02,600382.SH,5.1600,5.2500,5.1000,5.2200,6386330,35207392.00
2025-07-03,600382.SH,5.2200,5.3200,5.1700,5.2700,6877334,38239188.00
2025-07-04,600382.SH,5.3100,5.3100,5.1400,5.1600,6555236,36240697.00
2025-07-07,600382.SH,5.1800,5.2300,5.1500,5.2000,5208438,28776724.00
2025-07-08,600382.SH,5.2500,5.2600,5.1900,5.2600,5591276,31112561.00
2025-07-09,600382.SH,5.2900,5.3100,5.2300,5.2900,5374972,30143779.00
2025-07-10,600382.SH,5.2700,5.3900,5.2300,5.3200,6177772,34738534.00
2025-07-11,600382.SH,5.3400,5.3900,5.2300,5.3600,7690691,42782909.00
2025-07-14,600382.SH,5.3300,5.4700,5.3100,5.4000,9095932,50956306.00
2025-07-15,600382.SH,5.4400,5.4400,5.2300,5.2700,10215819,56591249.00
2025-07-16,600382.SH,5.2600,5.3300,5.2600,5.3200,8574030,47533431.00
2025-07-17,600382.SH,5.3100,5.4000,5.3000,5.3200,5774930,32298440.00
2025-07-18,600382.SH,5.3300,5.3600,5.1900,5.2300,9213045,50638940.00
2025-07-21,600382.SH,5.2700,5.3900,5.2500,5.3800,9425697,52781423.00
2025-07-22,600382.SH,5.3800,5.4000,5.2800,5.3800,8557625,47863137.00
2025-07-23,600382.SH,5.4100,5.4100,5.3100,5.3100,5984487,33514844.00
2025-07-24,600382.SH,5.3700,5.3700,5.3100,5.3600,6302590,35243381.00
2025-07-25,600382.SH,5.3600,5.3800,5.2900,5.2900,6435616,35801983.00
2025-07-28,600382.SH,5.3000,5.3000,5.1700,5.2200,7403271,40311431.00
2025-07-29,600382.SH,5.2100,5.2800,5.1700,5.2600,7541628,41072953.00
2025-07-30,600382.SH,5.2500,5.2900,5.2300,5.2700,5613906,30951042.00
2025-07-31,600382.SH,5.2700,5.2700,5.0700,5.0900,7172616,38580352.00
2025-08-01,600382.SH,5.1100,5.1900,5.0900,5.1400,5752040,30981788.00
2025-08-04,600382.SH,5.1100,5.2100,5.0900,5.1900,5039354,27249987.00
2025-08-05,600382.SH,5.2100,5.2600,5.1900,5.2300,4864895,26604335.00
2025-08-06,600382.SH,5.2500,5.2900,5.2100,5.2800,7099462,39094267.00
2025-08-07,600382.SH,5.2800,5.2800,5.2100,5.2500,4923730,27006716.00
2025-08-08,600382.SH,5.2500,5.4200,5.2400,5.3200,6314713,35230296.00
2025-08-11,600382.SH,5.3700,5.5600,5.3000,5.5000,9830032,56232542.00
2025-08-12,600382.SH,5.5100,5.6600,5.4900,5.5500,9749357,56994853.00
2025-08-13,600382.SH,5.5500,5.6900,5.5300,5.5800,10118023,59331165.00
2025-08-14,600382.SH,5.5800,5.9200,5.5700,5.5800,16515783,98557246.00
2025-08-15,600382.SH,5.5500,5.6700,5.4800,5.5300,16189060,94323874.00
2025-08-18,600382.SH,5.5400,5.6100,5.4700,5.4900,10821815,62442661.00
2025-08-19,600382.SH,5.5000,5.5800,5.4700,5.5100,9188860,52930645.00
2025-08-20,600382.SH,5.4900,5.5400,5.4800,5.5300,6650116,38370110.00
2025-08-21,600382.SH,5.5300,5.5500,5.4800,5.5000,6494195,37436773.00
2025-08-22,600382.SH,5.5000,5.5000,5.4100,5.4600,6797721,38740210.00
2025-08-25,600382.SH,5.4300,5.5400,5.4300,5.4800,9483508,54343711.00
2025-08-26,600382.SH,5.4700,5.5700,5.4300,5.5300,8251743,47591900.00
2025-08-27,600382.SH,5.5500,5.5700,5.3800,5.3800,8730201,50047327.00
2025-08-28,600382.SH,5.4500,5.5100,5.2700,5.4600,9664691,54576703.00
2025-08-29,600382.SH,5.5000,5.7200,5.4500,5.5000,17888634,103630036.00
2025-09-01,600382.SH,5.5400,5.9900,5.4900,5.8300,26226472,157934990.00
2025-09-02,600382.SH,5.8300,6.0500,5.7400,5.8200,19213950,117787264.00
2025-09-03,600382.SH,5.8300,5.9400,5.7200,5.8100,14423913,87985344.00
2025-09-04,600382.SH,5.7700,5.8300,5.5400,5.6300,13744666,81176999.00
2025-09-05,600382.SH,5.6800,5.8600,5.5000,5.7900,12495655,74052573.00
2025-09-08,600382.SH,5.8100,5.8800,5.7300,5.7700,10995662,66491341.00
2025-09-09,600382.SH,5.7800,5.9700,5.7400,5.9000,14900493,91779170.00
2025-09-10,600382.SH,5.8900,5.8900,5.7100,5.8000,9992983,60567200.00
2025-09-11,600382.SH,5.7900,5.8800,5.7100,5.8600,7653177,46500095.00
2025-09-12,600382.SH,5.8600,5.9100,5.8000,5.8800,7021420,43021883.00
2025-09-15,600382.SH,5.9100,5.9300,5.8400,5.9200,7575691,46713629.00
2025-09-16,600382.SH,5.9300,6.1000,5.8500,6.0200,11009538,68788272.00
2025-09-17,600382.SH,6.0700,6.0800,5.8700,5.8900,7911731,48957372.00
2025-09-18,600382.SH,5.9100,5.9300,5.6800,5.7500,10408191,63224824.00
2025-09-19,600382.SH,5.7700,5.7900,5.6500,5.7200,5696974,33994718.00
2025-09-22,600382.SH,5.7300,5.7300,5.5800,5.6700,6326251,37365650.00
2025-09-23,600382.SH,5.6900,5.7000,5.4400,5.5500,8956968,51687797.00
2025-09-24,600382.SH,5.5400,5.6900,5.4900,5.6900,5785452,34095408.00
2025-09-25,600382.SH,5.6600,5.7800,5.6000,5.6100,5429771,32204471.00
2025-09-26,600382.SH,5.6300,5.7200,5.5400,5.6600,5447980,32240604.00
2025-09-29,600382.SH,5.6200,5.8200,5.5900,5.7700,7308690,43911528.00
2025-09-30,600382.SH,5.7500,5.8400,5.7400,5.7800,5090051,30796981.00
2025-10-09,600382.SH,5.9200,6.2100,5.8800,5.9600,16674432,103960913.00
2025-10-10,600382.SH,6.5600,6.5600,6.5600,6.5600,8861776,60791783.00
2025-10-13,600382.SH,6.9500,7.2200,6.7900,7.2200,57058662,424243129.00
2025-10-14,600382.SH,7.8300,7.8300,7.1600,7.2900,107192264,828813480.00
2025-10-15,600382.SH,6.9800,7.0700,6.5800,6.8700,79994437,568013679.00
2025-10-16,600382.SH,6.7500,6.7500,6.4900,6.4900,45994750,316613973.00
2025-10-17,600382.SH,6.5200,7.1400,6.5100,7.1400,45800851,332402224.00
