date,symbol,open,high,low,close,volume,amount
2025-02-06,920642.BJ,10.2300,10.6900,10.1000,10.6200,2466393,25887942.00
2025-02-07,920642.BJ,10.7200,11.3400,10.6300,11.0700,4487329,49689559.00
2025-02-10,920642.BJ,11.0700,11.5200,11.0700,11.5100,3627438,41268469.00
2025-02-11,920642.BJ,11.4500,12.0700,11.2700,11.6600,5021618,59029321.00
2025-02-12,920642.BJ,11.5200,12.9600,11.5200,12.4100,8026521,98983632.00
2025-02-13,920642.BJ,12.4700,12.8400,11.8200,11.8200,5812023,72147982.00
2025-02-14,920642.BJ,11.6600,13.2200,11.6100,12.5200,6209026,76288996.00
2025-02-17,920642.BJ,12.2700,12.7700,12.2700,12.4200,4569809,57201610.00
2025-02-18,920642.BJ,12.3600,12.3700,11.5500,11.7100,3224193,38631898.00
2025-02-19,920642.BJ,11.7700,12.0400,11.6400,11.9900,2135856,25486400.00
2025-02-20,920642.BJ,12.1300,12.7600,11.9700,12.3600,5325746,66377283.00
2025-02-21,920642.BJ,12.2400,12.6000,12.0700,12.3800,4197258,52120794.00
2025-02-24,920642.BJ,12.3800,12.9200,12.2700,12.7500,5405759,68970646.00
2025-02-25,920642.BJ,12.2700,12.6700,12.0700,12.2200,3783625,46896556.00
2025-02-26,920642.BJ,12.4700,12.8400,12.2400,12.6900,4490700,56341985.00
2025-02-27,920642.BJ,12.8800,12.9000,12.1000,12.4900,3433592,42890665.00
2025-02-28,920642.BJ,13.1600,14.0400,12.3000,12.4200,8775642,117085062.00
2025-03-03,920642.BJ,12.2700,12.9600,11.9600,12.8200,7142457,90207416.00
2025-03-04,920642.BJ,12.6700,15.2600,12.6700,14.7400,18268658,264014901.00
2025-03-05,920642.BJ,14.1400,14.4800,13.6500,14.0900,13079466,184012826.00
2025-03-06,920642.BJ,13.8600,14.1400,13.2900,13.8900,8207620,112942799.00
2025-03-07,920642.BJ,13.8900,14.9500,13.5700,14.2900,12073097,173889521.00
2025-03-10,920642.BJ,14.4100,15.3700,14.2900,14.3400,9060957,133733517.00
2025-03-11,920642.BJ,13.8600,15.3600,13.6500,15.1000,12853553,191976491.00
2025-03-12,920642.BJ,14.8800,15.3100,14.5600,15.1500,9474545,141506411.00
2025-03-13,920642.BJ,15.1700,15.8400,14.5600,15.1600,9784011,147933296.00
2025-03-14,920642.BJ,15.1700,15.3200,14.6600,15.2000,8410878,126458370.00
2025-03-17,920642.BJ,15.3600,15.7600,15.0300,15.6200,8205785,126733842.00
2025-03-18,920642.BJ,15.7600,15.7600,14.8700,15.2300,6630836,100989583.00
2025-03-19,920642.BJ,15.6200,15.8700,13.9500,14.0900,8040481,120444853.00
2025-03-20,920642.BJ,13.9000,14.8200,13.6500,13.7600,6751573,95465670.00
2025-03-21,920642.BJ,13.5100,13.6200,12.7000,12.7700,5731824,75472095.00
2025-03-24,920642.BJ,12.8400,12.9200,12.1200,12.9200,3600172,45157392.00
2025-03-25,920642.BJ,12.8500,13.5200,12.7700,13.3700,4540358,60321436.00
2025-03-26,920642.BJ,13.1000,13.4100,13.0100,13.0200,3000914,39733350.00
2025-03-27,920642.BJ,13.1000,13.1600,12.6700,12.8200,2023190,26161245.00
2025-03-28,920642.BJ,12.8200,12.8600,12.2800,12.3500,2017596,25388169.00
2025-03-31,920642.BJ,12.3700,12.4500,11.7500,12.0000,2049893,24611470.00
2025-04-01,920642.BJ,12.5600,12.8400,12.2000,12.2500,3055369,38176874.00
2025-04-02,920642.BJ,12.2400,12.4500,12.0200,12.0900,2050555,25124561.00
2025-04-03,920642.BJ,11.9600,12.3500,11.8400,12.3100,2016180,24574242.00
2025-04-07,920642.BJ,11.7900,12.0600,9.5300,10.0700,4566580,49560792.00
2025-04-08,920642.BJ,10.0700,10.9800,10.0700,10.9400,4537515,48321571.00
2025-04-09,920642.BJ,11.8500,14.2200,11.7400,14.2200,10200284,138819136.00
2025-04-10,920642.BJ,15.5600,17.0000,14.9600,16.2000,27519141,442627666.00
2025-04-11,920642.BJ,15.4700,15.9600,14.4600,14.5700,17803582,272931011.00
2025-04-14,920642.BJ,14.1600,15.5300,14.1100,15.1100,13934395,208366167.00
2025-04-15,920642.BJ,15.0600,15.2500,13.8800,14.1500,9595670,138237953.00
2025-04-16,920642.BJ,15.9600,17.2000,14.4600,14.7300,19335938,311471759.00
2025-04-17,920642.BJ,13.8500,16.6000,13.8500,15.2000,17627576,265185052.00
2025-04-18,920642.BJ,14.8800,16.1100,14.4600,15.4200,14752665,227682064.00
2025-04-21,920642.BJ,15.4500,18.7500,15.2400,17.9600,22262541,390177720.00
2025-04-22,920642.BJ,16.9700,17.8400,16.7100,17.1000,17686036,303602939.00
2025-04-23,920642.BJ,16.7500,16.9400,15.9100,16.0900,13408740,217902009.00
2025-04-24,920642.BJ,16.3300,16.6500,15.0300,15.3500,9813664,154647349.00
2025-04-25,920642.BJ,15.1300,15.4400,14.5700,14.7900,7420995,111636207.00
2025-04-28,920642.BJ,14.5600,15.0900,14.2600,14.3600,5889747,86748480.00
2025-04-29,920642.BJ,14.1700,14.6200,13.8700,14.1400,5711890,81563549.00
2025-04-30,920642.BJ,14.4600,15.2400,14.3600,15.1600,7738728,115271192.00
2025-05-06,920642.BJ,15.1600,15.7400,14.9700,15.6500,7970231,122270284.00
2025-05-07,920642.BJ,16.9400,20.3300,15.9800,19.5800,33968668,644794596.00
2025-05-08,920642.BJ,18.4500,23.9500,17.8300,23.1500,34858834,696593579.00
2025-05-09,920642.BJ,21.7600,24.1100,20.2200,20.3500,29866277,650019248.00
2025-05-12,920642.BJ,19.1500,23.6300,19.0200,21.0800,27248866,584462477.00
2025-05-13,920642.BJ,20.5400,21.0000,18.7500,18.9200,20099833,395139813.00
2025-05-14,920642.BJ,18.9200,19.7100,18.4600,19.2000,14904207,285554144.00
2025-05-15,920642.BJ,18.9400,20.3100,18.4600,19.7700,18795635,369845508.00
2025-05-16,920642.BJ,19.0900,20.7900,18.9500,19.3700,14526858,289145580.00
2025-05-19,920642.BJ,19.4500,20.2200,18.8500,19.6600,12057546,237829873.00
2025-05-20,920642.BJ,19.3500,19.4600,18.1800,18.5500,13486935,252444463.00
2025-05-21,920642.BJ,18.5500,18.8300,18.2500,18.6900,8761527,162770286.00
2025-05-22,920642.BJ,18.7500,20.4100,18.5800,19.1800,18606757,364544042.00
2025-05-23,920642.BJ,18.3800,18.9000,17.9000,17.9600,11420021,210410398.00
2025-05-26,920642.BJ,17.9900,18.5100,17.4500,18.4900,7979576,143864980.00
2025-05-27,920642.BJ,18.7200,19.2200,18.2100,18.7300,8540423,160210622.00
2025-05-28,920642.BJ,18.4500,18.5400,17.5800,17.7700,7062996,127764995.00
2025-05-29,920642.BJ,17.8400,18.3800,17.6300,18.2700,5974149,108338906.00
2025-05-30,920642.BJ,18.2500,19.5500,17.9800,18.8100,11955910,225443961.00
2025-06-03,920642.BJ,19.4400,20.1200,18.8500,19.1900,11931891,232611969.00
2025-06-04,920642.BJ,18.8400,19.2200,18.5800,18.7500,8025982,151293661.00
2025-06-05,920642.BJ,18.6500,19.1000,18.3000,18.4100,7637745,142441791.00
2025-06-06,920642.BJ,18.7900,19.7300,18.6400,18.6500,10312909,197433165.00
2025-06-09,920642.BJ,18.9100,19.5700,18.8300,19.1000,9497816,182816706.00
2025-06-10,920642.BJ,18.9000,18.9600,17.7500,18.3300,10617191,195285652.00
2025-06-11,920642.BJ,18.1100,18.3800,17.9800,18.2100,4869967,88840724.00
2025-06-12,920642.BJ,18.3600,18.3600,17.5300,17.7200,5855132,104137890.00
2025-06-13,920642.BJ,18.8800,21.5800,18.3300,20.3000,24531295,480066749.00
2025-06-16,920642.BJ,19.3500,21.0000,19.2100,19.9500,15931359,318817547.00
2025-06-17,920642.BJ,19.7500,21.3000,19.3200,20.9700,16922959,343486426.00
2025-06-18,920642.BJ,20.9700,23.6000,20.3900,21.5200,20692427,450719468.00
2025-06-19,920642.BJ,20.6700,21.4800,19.9100,20.3300,13881045,285014025.00
2025-06-20,920642.BJ,19.8000,20.1800,19.0800,19.1500,9166050,179454385.00
2025-06-23,920642.BJ,19.5000,19.9900,19.2000,19.9300,8283403,162917701.00
2025-06-24,920642.BJ,18.9000,19.1900,18.3700,18.8400,13610488,254649294.00
2025-06-25,920642.BJ,18.7900,20.3900,18.7200,19.8500,15325925,301279529.00
2025-06-26,920642.BJ,19.5000,21.3400,19.4600,20.6000,16371667,336915454.00
2025-06-27,920642.BJ,21.0000,21.0000,20.0000,20.1500,10629251,215867999.00
2025-06-30,920642.BJ,20.1000,21.7100,20.0500,21.2400,13785751,291669105.00
2025-07-01,920642.BJ,21.2000,21.2000,20.3700,20.6600,9836403,203241426.00
2025-07-02,920642.BJ,20.5600,20.6900,19.6000,19.8700,7467622,149304124.00
2025-07-03,920642.BJ,19.8100,20.4500,19.7900,19.8700,5048251,100947829.00
2025-07-04,920642.BJ,19.7200,19.8900,19.0900,19.3000,6177615,119929677.00
2025-07-07,920642.BJ,19.2900,19.5400,19.0600,19.2100,3341106,64393781.00
2025-07-08,920642.BJ,19.2300,19.3700,19.1700,19.2800,3831028,73773390.00
2025-07-09,920642.BJ,19.5000,19.9600,19.0000,19.0600,6172524,120554101.00
2025-07-10,920642.BJ,18.9600,19.0000,18.4700,18.9700,5216773,97477225.00
2025-07-11,920642.BJ,19.1000,19.5600,18.8300,19.3000,4550803,87184952.00
2025-07-14,920642.BJ,19.1900,19.6800,19.0700,19.3800,3680279,71176254.00
2025-07-15,920642.BJ,19.3800,19.4600,18.7000,18.9600,3776233,71554281.00
2025-07-16,920642.BJ,19.0800,19.3600,18.8500,19.1200,3261944,62190424.00
2025-07-17,920642.BJ,19.0600,19.8000,19.0300,19.5300,6616033,128849004.00
