symbol,name,exchange,market_cap,status,updated_at
000001.SZ,平安银行,SZ,206673000000,,2026-06-22
000002.SZ,万  科Ａ,SZ,37105000000,,2026-06-22
000004.SZ,*ST国华,SZ,365000000,,2026-06-22
000006.SZ,深振业Ａ,SZ,10516000000,,2026-06-22
000007.SZ,全新好,SZ,4570000000,,2026-06-22
000008.SZ,神州高铁,SZ,6682000000,,2026-06-22
000009.SZ,中国宝安,SZ,17745000000,,2026-06-22
000010.SZ,*ST美丽,SZ,2230000000,,2026-06-22
000011.SZ,深物业A,SZ,4297000000,,2026-06-22
000012.SZ,南  玻Ａ,SZ,14391000000,,2026-06-22
000014.SZ,沙河股份,SZ,2408000000,,2026-06-22
000016.SZ,*ST康佳A,SZ,6164000000,,2026-06-22
000017.SZ,深中华A,SZ,3604000000,,2026-06-22
000019.SZ,深粮控股,SZ,7030000000,,2026-06-22
000020.SZ,深华发Ａ,SZ,3296000000,,2026-06-22
000021.SZ,深科技,SZ,73492000000,,2026-06-22
000025.SZ,特  力Ａ,SZ,6729000000,,2026-06-22
000026.SZ,飞亚达,SZ,8850000000,,2026-06-22
000027.SZ,深圳能源,SZ,33397000000,,2026-06-22
000028.SZ,国药一致,SZ,12551000000,,2026-06-22
000029.SZ,深深房Ａ,SZ,29581000000,,2026-06-22
000030.SZ,富奥股份,SZ,7361000000,,2026-06-22
000031.SZ,大悦城,SZ,10073000000,,2026-06-22
000032.SZ,深桑达Ａ,SZ,29881000000,,2026-06-22
000034.SZ,神州数码,SZ,26700000000,,2026-06-22
000035.SZ,中国天楹,SZ,12513000000,,2026-06-22
000036.SZ,华联控股,SZ,6977000000,,2026-06-22
000037.SZ,深南电A,SZ,6112000000,,2026-06-22
000039.SZ,中集集团,SZ,48425000000,,2026-06-22
000042.SZ,中洲控股,SZ,5983000000,,2026-06-22
000045.SZ,深纺织Ａ,SZ,5344000000,,2026-06-22
000048.SZ,京基智农,SZ,11002000000,,2026-06-22
000049.SZ,德赛电池,SZ,9197000000,,2026-06-22
000050.SZ,深天马Ａ,SZ,22604000000,,2026-06-22
000055.SZ,方大集团,SZ,3855000000,,2026-06-22
000056.SZ,*ST皇庭,SZ,2069000000,,2026-06-22
000058.SZ,深 赛 格,SZ,8151000000,,2026-06-22
000059.SZ,华锦股份,SZ,6574000000,,2026-06-22
000060.SZ,中金岭南,SZ,39127000000,,2026-06-22
000061.SZ,农 产 品,SZ,11632000000,,2026-06-22
000062.SZ,深圳华强,SZ,32946000000,,2026-06-22
000063.SZ,中兴通讯,SZ,188615000000,,2026-06-22
000065.SZ,北方国际,SZ,14390000000,,2026-06-22
000066.SZ,中国长城,SZ,59613000000,,2026-06-22
000068.SZ,华控赛格,SZ,3201000000,,2026-06-22
000069.SZ,华侨城Ａ,SZ,14227000000,,2026-06-22
000070.SZ,特发信息,SZ,19799000000,,2026-06-22
000078.SZ,ST海王,SZ,3815000000,,2026-06-22
000088.SZ,盐 田 港,SZ,22306000000,,2026-06-22
000089.SZ,深圳机场,SZ,12797000000,,2026-06-22
